IMF_1,IMF_2,IMF_3,IMF_4,IMF_5,IMF_6,IMF_7,IMF_8,IMF_9,IMF_10,IMF_11,IMF_12,timestamp
0.012843212080898628,-0.042675885024711556,0.0666223328841756,0.002580528462200877,0.016578489406600897,0.016353179824009606,-0.026913231450468218,-0.02321607057453783,-0.039741305336458976,1.4477827028550314,-0.42544735440906645,-0.5399920956421422,404932.9076828602
-0.025844113556653794,-0.04245453747968827,0.0681485677440109,-3.0312850920075406e-05,0.017397026601823868,0.016708751921629465,-0.02889710159517469,-0.023631088481715468,-0.04013726953692083,1.4483360745572174,-0.4254951202637085,-0.5400063739843685,404934.06372816593
0.020144190678094073,-0.02303899316492883,0.0635171694316742,-0.004570156627436008,0.018088268005038183,0.017090544000554497,-0.030854864233634472,-0.02403757831545193,-0.04053056959538606,1.448887894176399,-0.4255428217766466,-0.5400205795027446,404935.2197734716
-0.0059947405259531015,-0.005889297791393316,0.05363757410912217,-0.010775461146754203,0.018667760931441374,0.017493135664753738,-0.03278528582698354,-0.02443547161369802,-0.04092119961580699,1.4494381600020467,-0.4255904589282958,-0.5400347121829469,404936.3758187773
-0.003700409727587299,0.018705269347086,0.037969739666348964,-0.01831297309116877,0.01915236419951761,0.017909421054835922,-0.034687121370871675,-0.024824699914403538,-0.041309153702133235,1.4499868703236298,-0.4256380316990712,-0.5400487720106512,404937.53186408296
0.001726832297327953,0.041185050600372225,0.017529350566730915,-0.026849439142971634,0.019559816298541418,0.018331412099762728,-0.036559123320091785,-0.025205194755519474,-0.041694425958316926,1.4505340234306192,-0.4256855400693897,-0.5400627589715328,404938.6879093886
0.010384959836926819,0.04037193431969014,-0.00609177979172166,-0.03605160598445597,0.019908148979760894,0.018750827466523033,-0.038400044129436844,-0.025576887674996197,-0.04207701048830862,1.451079617612483,-0.4257329840196646,-0.5400766730512676,404939.8439546944
-0.014531513924990738,0.036077385607007774,-0.030601953657403,-0.04558622029791501,0.020215491501642237,0.019159288314887283,-0.04020863625370113,-0.025939710210783194,-0.04245690139606001,1.4516236511586913,-0.4257803635303122,-0.5400905142355314,404941.0
0.011140561350199075,0.01341169205067796,-0.05143893291991778,-0.05512002876564118,0.020499891371971897,0.019548497555305435,-0.04198365214767717,-0.02629359390083265,-0.04283409278552065,1.4521661223587137,-0.42582767858174686,-0.5401042825100001,404941.9076828602
-0.0010855466477838619,-0.00891486005264185,-0.06377809552827027,-0.06431977806992721,0.020779208785668184,0.019910345411095643,-0.04372384426615908,-0.02663847028309286,-0.043208578760642984,1.4527070295020201,-0.42587492915438474,-0.5401179778603498,404943.06372816593
0.0024385026939950216,-0.03501149946209552,-0.062428917268572345,-0.07288867492337336,0.021070828203943945,0.02023719783928127,-0.045427965063938563,-0.026974270895515882,-0.04358035342537757,1.4532463708780798,-0.42592211522864,-0.5401316002722558,404944.2197734716
-0.02358692080703447,-0.0324362320306832,-0.044274462577750584,-0.08067008949840115,0.021391253604871343,0.02052230124713586,-0.04709476696291865,-0.02730092727605158,-0.043949410883674836,1.4537841447763615,-0.42596923678492843,-0.5401451497313935,404945.3758187773
0.017139121282426062,-0.0035863620283944457,-0.014835312706943942,-0.08752114535210512,0.021756155340074593,0.02075973616371876,-0.04872300288033984,-0.027618370962649942,-0.044315745239486795,1.4543203494863364,-0.4260162938036656,-0.5401586262234396,404946.53186408296
0.013630085825951667,0.02044459662660061,0.017056965649215012,-0.0932932893801737,0.02218035595660593,0.02094443458487685,-0.050311429395658136,-0.027926533493261966,-0.04467935059676338,1.4548549832974733,-0.4260632862652669,-0.5401720297340685,404947.6879093886
-0.02953706173610337,0.027109178566939087,0.04246324866850019,-0.09783796847829447,0.02267770220583677,0.021072310830260097,-0.05185880961645137,-0.028225346405837508,-0.04504022105945677,1.4553880444992418,-0.42611021415014627,-0.5401853602489574,404948.8439546944
0.029106580625429843,0.015271362594904506,0.054892031770227646,-0.10100662954215525,0.02326110004699384,0.021140231452204394,-0.0533639180908381,-0.028514741238327878,-0.0453983507315171,1.4559195313811122,-0.4261570774387203,-0.5401986177537816,404950.0
-0.0009936008912261047,-0.014097648952809136,0.05478123288339103,-0.10270166913881332,0.023942599326559212,0.021145769974582233,-0.05482556076750636,-0.028794649528682693,-0.04575373371689567,1.4564494422325527,-0.4262038761114034,-0.5402118022342166,404950.9076828602
-0.027988625679169467,-0.01677246384289853,0.04491915183271464,-0.10300433642004958,0.024727307332840353,0.02108718093661948,-0.05624259566861364,-0.029065002814852248,-0.04610636412095998,1.4569777753444493,-0.42625061014861093,-0.5402249136759377,404952.06372816593
0.020166182309182396,-0.001615229165977258,0.02917764393303004,-0.10194721625262165,0.02559765989012375,0.02096311022842802,-0.05761397659507921,-0.029325732634787417,-0.04645623607175539,1.4575045290303683,-0.42629727953075897,-0.5402379520646218,404953.2197734716
0.011535605403859985,0.004226552963294447,0.013521458589204748,-0.09953940643363951,0.026531827220203436,0.020772470718858942,-0.05893879114215094,-0.029576770526438312,-0.04680334384342064,1.458029701749964,-0.42634388423826086,-0.5402509173859439,404954.3758187773
-0.005484527500454998,0.0028498742030506445,0.00013480486865504203,-0.09579330825821016,0.027511258954576734,0.020514300723268476,-0.060216228263286764,-0.029818048027755673,-0.0471476820704174,1.4585532923232192,-0.426390424251534,-0.5402638096255797,404955.53186408296
-0.01954894712854965,0.005013615629100561,-0.013912437959404824,-0.09072219655879846,0.02851827826209794,0.020187677039079154,-0.061445515394010435,-0.030049496676689862,-0.047489245616775,1.45907529979968,-0.4264368995509918,-0.5402766287692056,404956.6879093886
0.016433712521824306,0.008366560274039826,-0.027864389309586093,-0.0843393702410726,0.029535232384825468,0.019791704519762185,-0.06262590802589581,-0.03027104801119038,-0.04782802940743305,1.4595957232898054,-0.4264833101170505,-0.540289374802497,404957.8439546944
0.004645379329111408,0.004670894611458392,-0.038529133913686404,-0.07665812821070211,0.030544468564818593,0.019325500098114384,-0.0637566737298409,-0.030482633569209272,-0.04816402837868728,1.4601145619154097,-0.426529655930125,-0.5403020477111293,404959.0
-0.010333261372045002,-0.0015524406057117308,-0.042306892958800586,-0.06771814465360196,0.031528334044134784,0.018788187210594186,-0.06483708658040593,-0.03068418488869578,-0.04849723746825924,1.4606318147997328,-0.42657593697063095,-0.5403146474807784,404959.9076828602
-0.012207120447483516,-0.010849042444537613,-0.03564391331258208,-0.05766293405464753,0.032469176047321045,0.018178893215093257,-0.06586642455607211,-0.030875633507600395,-0.048827651613868046,1.4611474810660126,-0.4266221532189829,-0.5403271740971206,404961.06372816593
0.014849905372211173,0.0007856607180412872,-0.017506171181511338,-0.04665746438526888,0.033349336028591914,0.017496754429484423,-0.0668439688249703,-0.031056910963873547,-0.0491552657532336,1.4616615598374874,-0.4266683046555964,-0.5403396275458314,404962.2197734716
0.0005324669571081384,0.00818573681818476,0.004868538469922065,-0.03487192877263688,0.03415112766287748,0.01674093561975456,-0.06776900122405978,-0.03122794879546591,-0.04948007482407656,1.4621740502373968,-0.42671439126088734,-0.5403520078125861,404963.3758187773
0.003115802829507637,0.007175278607159578,0.023035529704330416,-0.02247824183836541,0.034856829644293284,0.015910636532703592,-0.06864080359030093,-0.03138867854032742,-0.04980207376411662,1.4626849513889781,-0.42676041301526946,-0.5403643148830612,404964.53186408296
-0.016297695531132746,0.0005498779224298671,0.03261328779431736,-0.00965264145741631,0.035448572815081916,0.015005204767005955,-0.06945865776065178,-0.03153903172583913,-0.0501212575216443,1.4631942624154708,-0.4268063698991585,-0.5403765487429322,404965.6879093886
