IMF_1,IMF_2,IMF_3,IMF_4,IMF_5,IMF_6,IMF_7,IMF_8,IMF_9,IMF_10,IMF_11,IMF_12,IMF_13,timestamp
0.02219503448458539,0.003901689803767212,0.0030790899905761577,-0.055717584440307805,-0.0007983311124257686,-0.015958441339282106,0.0059424765931739,0.31630267511981186,-0.7112616868111228,-0.006085080127897922,0.2560126763133854,-0.9725793520112097,4.694884429868044,791047.8168736746
-0.015483975797067475,-0.0059855570284552025,0.0032831551428102743,-0.07010794040172,0.009326521348621285,-0.017439684961860418,0.007170234077431833,0.31710085175756725,-0.7128738260924294,-0.0061684447551882725,0.2561370747884983,-0.9725245262089246,4.694838714461815,791050.1287488639
-0.0035070489834866884,0.0018619075868187508,0.001430435899618207,-0.08104538245843144,0.017130805197334755,-0.017994022654516575,0.007897341732973717,0.3179748739486248,-0.7144528355246292,-0.006250143377980051,0.25626051115888576,-0.9724697857658747,4.694792939571761,791052.4406240534
0.01006241034446918,0.006163126267158752,-0.0008505085725003409,-0.08743043883002966,0.022146208718320723,-0.017526919460979718,0.008119241139196194,0.31891785247459403,-0.7159981642061578,-0.006330170386716872,0.256382984390959,-0.9724151307460401,4.694747105198825,791054.7524992427
-0.0005385664470331283,0.0060866866112821395,-0.001617745367966901,-0.08820122789399534,0.023950248374651113,-0.015964418690319306,0.00784924977727469,0.3199249900188422,-0.7175092434614797,-0.006408520171842352,0.25650449345114545,-0.9723605612134133,4.694701211343953,791057.064374432
-0.0017344129756070264,-0.006064924315214503,-0.0007213349986649796,-0.08297022578592841,0.02240911907942623,-0.013285708765693433,0.007111633966426703,0.3209894345193733,-0.7189850153511959,-0.006485187123800662,0.25662503730586284,-0.9723060772319738,4.694655258008088,791059.3762496213
0.004214128638585057,-0.01207265927484021,0.000605308833910753,-0.07239821150508771,0.017958589194641012,-0.009651960389459743,0.005937728958448914,0.32209736905910047,-0.7204227127991575,-0.006560165633032082,0.2567446149215296,-0.972251678865716,4.694609245192176,791061.6881248107
-0.00761634045612659,0.0027263408554135775,0.0010014431871767581,-0.05730518225273943,0.011311929777820836,-0.005321623389816906,0.0043654596469201515,0.32322806286625455,-0.7218190757969306,-0.00663345008998134,0.2568632252645675,-0.9721973661786167,4.6945631728971575,791064.0
-0.001642732414226524,0.01549326206756049,-0.00045768120454359797,-0.038094121195990774,0.003269282930418829,-0.0005658399161454398,0.002435464811083128,0.32435805259230094,-0.7231708256449721,-0.006705034885093718,0.25698086730139946,-0.9721431392346701,4.694517041123978,791066.8168736746
0.019181809170647813,0.0014608975245100444,-0.0029259553692339447,-0.014784895662397785,-0.00534788906280086,0.004344577889869312,0.00018882183273791366,0.3254634362861591,-0.7244746836437528,-0.006774914408801714,0.2570975399984366,-0.9720889980978599,4.694470849873584,791069.1287488639
