rms,spectral_centroid,spectral_bandwidth,spectral_flatness,crest_factor,hf_energy_ratio,peak_prominence,window_id,label
42.63950414474936,76.01993191500362,38.453518925013476,0.04314037627668637,1.7675354909575962,0.056716987034662235,8.969279540563086,2,plsh
47.06174594260193,77.74803781251478,51.989184021162934,0.03918869482107039,1.548439903008288,0.09247899809131839,16.00751394946938,3,plsh
41.55917692327082,91.65620254323683,52.92564988399872,0.04192492929873538,1.8837547418345333,0.1417783090091828,21.750871751528276,4,plsh
28.042544202597718,78.80621546697482,60.495459268779435,0.08346402294016345,1.5953997334599577,0.08234621626528073,8.623967787164878,5,plsh
33.248669204907955,78.66374917366572,44.682919724032274,0.053577406204029336,1.7648847639168206,0.08159511425248907,10.780970256766318,6,plsh
26.922305647470445,96.91589210949846,66.46986922904152,0.08500025236409818,1.5072214333360612,0.15810433511727476,7.484104216545408,7,plsh
27.526920085512025,94.03346638732903,57.7838216928904,0.0441309524662287,1.6137404050710644,0.11602646662861078,6.767475060696597,8,plsh
29.47128036077716,106.3794721111849,63.09147370299529,0.04976120264438132,1.6089877824520453,0.14552171800526695,6.6862646100669005,9,plsh
30.206696343266078,118.26367772907734,65.38779972977494,0.06621207736283292,1.519292000652901,0.19543367917674162,9.077868968541313,10,plsh
30.995598572269476,120.26824802666486,65.57230442773798,0.03949801182171999,1.5250074552181558,0.19039943481450505,8.933105994607,11,plsh
31.173249493539533,116.42992484272872,53.9906760058175,0.051481839458905936,1.56693804787735,0.16633176946430905,8.787825387898394,12,plsh
31.182886088365095,121.63091987321539,65.60325217320873,0.04646476273696912,1.5524378501185865,0.16795617722750486,10.317266116973071,13,plsh
30.70757506962035,119.59052170531233,66.30527485927057,0.045642474860994944,1.6562630830722385,0.16123990078604378,10.157835405966983,14,plsh
30.98718382426041,117.98155107141115,62.93262591185136,0.04799655018116826,1.5857640301858946,0.14445368482610046,11.253430396147506,15,plsh
30.41792851603362,119.53712444199795,67.04931464330328,0.04947350985988531,1.6813007075345747,0.1647286758563524,10.292708168075347,16,plsh
29.756824082345805,120.6678596837244,70.66622894411526,0.06428070118199526,1.583315056807226,0.19603065614831178,8.516022984224389,17,plsh
29.542204831846078,121.27776802592957,69.44075090826702,0.05806184926612524,1.6472149872836968,0.21104440021292215,8.142180389027333,18,plsh
29.579021709237463,119.8504182842581,69.06214710976518,0.04366477870904748,1.47532398590234,0.20717041598480143,7.87104490133131,19,plsh
30.263350514479562,124.98153805152245,71.9343577307754,0.053202922611727745,1.5105596626377176,0.22727670189610988,8.619830440059564,20,plsh
30.49017484703645,129.03883543839052,73.15797439133851,0.030781693964251622,1.5680222270043342,0.23558265527960115,8.870933060288491,21,plsh
30.77132602206194,125.31919120110854,68.12420420312004,0.056548038544602705,1.5580973203374286,0.2158225439680315,9.998384290524399,22,plsh
31.60703375150882,133.9262550189486,74.08018566825487,0.040060911234184746,1.4547005009016116,0.24618413954584256,10.727303121876126,23,plsh
32.051839193363385,133.70766796142811,69.67280282265982,0.04248363997470913,1.4470233396327887,0.2362195049674119,11.748506310899046,24,plsh
32.60071521376633,134.4065774621681,67.07076017076064,0.03708659617976221,1.4783307708262288,0.2740114057200721,12.163209381783036,25,plsh
32.891938901444014,134.45245534458124,66.29810868822392,0.030135404350952882,1.493019701963834,0.27048058747245557,13.57603424562304,26,plsh
33.31070199124161,126.17731670409721,54.74538689978309,0.03797020582529808,1.4943081524518878,0.24873427155828964,12.929154661564851,27,plsh
