IMF_1,IMF_2,IMF_3,IMF_4,IMF_5,IMF_6,timestamp
0.042973044738376154,0.001296294544854551,-0.0047253997913182634,0.006954137452757416,0.004093346431313922,0.002352221360860541,150538.5625
-0.07385354343780129,-0.0007404841647936846,-0.005535264949433476,0.006952343281825602,0.004129599059325741,0.0023449949477201714,150547.625
0.06414975320514431,0.001508229956998036,-0.0043505837367778175,0.006672511526924509,0.0041615765768370705,0.0023371572077165175,150556.6875
-0.04038816146392446,-0.00418062304406249,-0.0012919975623681497,0.00614162784654735,0.004189082183731894,0.002328716776920036,150565.75
0.01682326922081031,-0.0068658229131102,0.002340809534607197,0.005397804162546503,0.004211902440588255,0.002319682291401179,150574.8125
-0.004478885749360512,0.005086770916120656,0.005422720878094475,0.004479152396774368,0.004229823907984168,0.0023100623872304056,150583.875
0.0039049866644186026,0.01303320533836876,0.006895169415997039,0.003423784471083357,0.0042426331464976656,0.002299865700478176,150592.9375
-0.022696585699250125,0.008181914943793382,0.006005506288522822,0.00226959161985572,0.004250116716706769,0.002289100867214949,150602.0
-0.026197521290541176,-0.0035131138680803897,0.003282859865170564,0.001053582327593104,0.004252061179189521,0.0022777765235111776,150610.5625
-0.03043030505579702,-0.01346055182140987,-0.00042319717723829256,-0.00018745560867296953,0.004248253094523938,0.002265901305437328,150619.625
-0.016479875973491123,-0.01514061560822367,-0.004263092161882296,-0.0014167343919109794,0.0042384790232880476,0.0022534838490638528,150628.6875
0.04288352665303978,-0.010252554286286393,-0.0074829197213407365,-0.002597466225089425,0.00422252552605988,0.002240532790461208,150637.75
0.00485183462902023,-0.00236211878432171,-0.009711443725795858,-0.0036928633111767725,0.004200179163417455,0.002227056765699855,150646.8125
-0.043304253134660436,0.004700340172686807,-0.010673095354830629,-0.004666137853141533,0.004171226495938813,0.0022130644108502477,150655.875
-0.024531978134752958,0.007747412267392194,-0.010089635853875796,-0.005483171988104403,0.004135454084201973,0.0021985643619828583,150664.9375
0.025596533191524107,0.006198561821566385,-0.007717972071596234,-0.006125691948604101,0.004092648488784965,0.002183565255168127,150674.0
0.02752799449634974,0.0007506909522193959,-0.0036629613719003492,-0.0065987513365678725,0.004042596270265816,0.0021680757264765124,150683.5625
-0.019239072354036713,-0.004871340378955099,0.0012554371813663188,-0.006912568112732037,0.003985083989222557,0.0021521044119784854,150692.625
0.011876305746023032,-0.004671012779801357,0.006080153854477806,-0.007077360237832914,0.003919898206233209,0.0021356599477444964,150701.6875
-0.007642971988349139,0.00149843335179771,0.009974952594280611,-0.007103345352444806,0.003846825161713783,0.0021187509698450033,150710.75
-0.006871736322941479,0.005742279178731243,0.012133805767764343,-0.0070007949233436475,0.003765704922281926,0.002101386114350462,150719.8125
0.006631609676163545,0.004256256678996448,0.011967514925598405,-0.006779909961204523,0.00367659939995764,0.0020835740173313355,150728.875
-0.007423022623540154,-0.0036197025437167633,0.009754198353171418,-0.006449784330200913,0.003579632566272203,0.0020653233148580814,150737.9375
0.00956655052320868,-0.007580060748672235,0.005988803519551795,-0.006019221331168451,0.0034749301309222607,0.0020466426430011562,150747.0
-0.014195458016942476,-0.0010242832066783604,0.0012682517839720108,-0.005497024264942784,0.0033626178036044673,0.002027540637831017,150755.5625
0.014593609545573056,0.007892824327875329,-0.003402639933679221,-0.004891996432359557,0.003242821294015481,0.002008025935418115,150764.625
0.025453737343736463,0.009705578025357826,-0.0070365029816804444,-0.004212941134254402,0.003115666311851945,0.0019881071718329214,150773.6875
-0.027746180223846117,-0.00018488281234508048,-0.009144702105458733,-0.0034686616714629747,0.002981278566810523,0.0019677929831458927,150782.75
0.02765700255562976,-0.010463068983915665,-0.00944144023784985,-0.0026687243710367325,0.0028397837685878624,0.0019470920054274691,150791.8125
-0.027344691958968943,-0.010390645305079731,-0.007829175934240795,-0.001826162566495461,0.0026913076268806164,0.0019260128747481326,150800.875
-0.005310050031633126,-0.002555756507924905,-0.004890656578167778,-0.0009564322239947939,0.0025359758513854368,0.0019045642271783253,150809.9375
0.028057671325708404,0.005332601288601012,-0.0013788925167582745,-7.540421129538676e-05,0.002373914151798982,0.0018827546987885103,150819.0
-0.027945716838743785,0.0070673639054182474,0.001953105902860243,0.0008010506038421204,0.0022052482378178986,0.0018605929256491486,150828.5625
-0.005988443915877677,0.0034956875686238697,0.004445148367470401,0.0016570613536570765,0.002030103819138841,0.001838087543830692,150837.625
0.02747477272939643,-0.0008380636572997233,0.005808324699495286,0.0024767571703888367,0.0018486066054584675,0.0018152471894036044,150846.6875
0.009011478691332571,-0.0021126087009459256,0.005846544755268058,0.0032442671862767465,0.0016608823064734244,0.0017920804984383303,150855.75
-0.029561838127587163,-0.0009693630821632062,0.0045073255562521905,0.0039438676514552675,0.0014670566318803677,0.0017685961070053424,150864.8125
0.030770576889382714,0.0003309900786788149,0.0023045965385924713,0.004560423287639269,0.0012672552913759484,0.0017448026511751034,150873.875
0.002087118151239269,7.968370905699147e-05,-0.00015741581956701782,0.005078945934438728,0.0010616039946568247,0.0017207087670180522,150882.9375
-0.03126984598333983,-0.0004170264082958778,-0.0023674818450083453,0.005484447431463616,0.0008502284514196434,0.001696323090604662,150892.0
0.03113340534133266,0.0008456923394440224,-0.0038533011916237776,0.005761939618323901,0.0006332543713610602,0.001671654258005382,150900.5625
-0.015896448543596096,0.002958507645758147,-0.004288367069416867,0.005896388081893281,0.00041085371691402124,0.0016467109052906717,150909.625
