timestamp,accel_x,accel_y,accel_z,magnitude
3571254.9054715303,8.884868,-1.5051392,3.8836899,9.812714743034297
3571256.0618327404,8.892047,-1.6056414,3.852582,9.822880037052624
3571257.21819395,8.951869,-1.7109293,3.852582,9.894727168016482
3571258.3745551603,8.999727,-1.8305746,3.854975,9.960267149595897
3571259.53091637,9.011692,-1.8688612,3.802331,9.9579594255696
3571260.68727758,9.023657,-1.9119335,3.802331,9.976953262175396
3571261.84363879,9.038013,-1.9071478,3.7066147,9.952983685984314
3571263.0,9.038013,-1.9454343,3.7305436,9.969320395858809
3571263.9054715303,9.054764,-1.9406484,3.7784019,10.001559289732885
3571265.0618327404,9.009299,-1.9286839,3.8286529,9.977267816702057
3571266.21819395,9.014085,-1.902362,3.8621538,9.989441502963189
3571267.3745551603,8.959048,-1.8473251,3.9746203,9.973703305220488
3571268.53091637,8.959048,-1.8856115,4.051193,10.011605092016227
3571269.68727758,8.892047,-1.8903974,4.0799084,9.964324098127594
3571270.84363879,8.846581,-1.9191123,4.1780176,9.969995911507791
3571272.0,8.822652,-1.9669704,4.218697,9.975247628274154
3571273.9054715303,8.825045,-1.9837208,4.245019,9.991834354848894
3571275.0618327404,8.820259,-2.079437,4.29527,10.02847802196076
3571276.21819395,8.765223,-2.1727605,4.3335567,10.016473236733784
3571277.3745551603,8.729329,-2.2541194,4.398165,10.031255874860452
3571278.53091637,8.686256,-2.3019776,4.3526998,9.984795426915756
3571279.68727758,8.724543,-2.3833365,4.36945,10.044403254229753
3571280.84363879,8.712579,-2.4790528,4.3096275,10.031332155062211
3571282.0,8.72215,-2.5939124,4.292877,10.061464858483717
3571282.9054715303,8.7556505,-2.5915194,4.2665553,10.078734176804382
3571284.0618327404,8.817866,-2.5986981,4.2904844,10.144764610159418
3571285.21819395,8.76283,-2.6154485,4.3168063,10.11249608636621
3571286.3745551603,8.784366,-2.5843408,4.331164,10.129308218599958
3571287.53091637,8.79633,-2.5723763,4.307235,10.126441361254539
3571288.68727758,8.815474,-2.5388756,4.288091,10.126509545802659
3571289.84363879,8.844189,-2.4623024,4.345521,10.157074625019142
3571291.0,8.79633,-2.421623,4.323985,10.09636200337795
3571291.9054715303,8.789151,-2.368979,4.3048415,10.069404011328785
3571293.0618327404,8.817866,-2.2924058,4.2569833,10.056430378733229
3571294.21819395,8.822652,-2.2230117,4.225876,10.031898987670125
3571295.3745551603,8.803509,-2.1560102,4.166053,9.975276853019873
3571296.53091637,8.777187,-2.084223,4.0990515,9.908845560727558
3571297.68727758,8.791544,-2.084223,4.108623,9.925523380345945
3571298.84363879,8.791544,-2.0387578,4.1229806,9.92203347600547
3571300.0,8.748472,-2.0172215,4.158874,9.894502406019328
3571300.9054715303,8.758043,-2.0220072,4.2617693,9.947588042994308
3571302.0618327404,8.777187,-1.9837208,4.292877,9.970102947434928
3571303.21819395,8.765223,-2.0411506,4.347914,9.994988052169216
3571304.3745551603,8.743686,-2.0626867,4.407737,10.006741065407953
3571305.53091637,8.707792,-2.0866158,4.4460235,9.99733624395148
3571306.68727758,8.731722,-2.0722585,4.462774,10.02265314930045
3571307.84363879,8.72215,-2.1201165,4.453202,10.020069992214438
3571309.0,8.681471,-2.1392598,4.3407354,9.939132508853588
3571310.9054715303,8.671899,-2.1272953,4.357486,9.935537318122211
3571312.0618327404,8.707792,-2.1895108,4.288091,9.950242383121209
3571313.21819395,8.619255,-2.184725,4.1971607,9.832636371913411
3571314.3745551603,8.640791,-2.2445478,4.2067323,9.869035443042502
3571315.53091637,8.638398,-2.239762,4.1493025,9.84150217495044
3571316.68727758,8.63122,-2.2612982,4.137338,9.835089931666474
3571317.84363879,8.557039,-2.263691,4.132552,9.76858226272912
3571319.0,8.540289,-2.2947989,4.0990515,9.747043725900404
3571319.9054715303,8.509181,-2.2971919,4.0990515,9.720363939474636
3571321.0618327404,8.430215,-2.2780485,4.08948,9.642711059913456
3571322.21819395,8.415857,-2.263691,4.1301594,9.644125810945146
3571323.3745551603,8.358428,-2.2517266,4.16366,9.605709547343785
3571324.53091637,8.341678,-2.2206187,4.166053,9.584922371374882
3571325.68727758,8.305784,-2.1895108,4.1612673,9.544430362259547
3571326.84363879,8.315355,-2.1966896,4.1564813,9.55232488832027
3571328.0,8.317748,-2.165582,4.1564813,9.547304016709518
3571328.9054715303,8.329713,-2.1584032,4.0918727,9.528181632879619
3571330.0618327404,8.35125,-2.1536174,4.084694,9.542859610290762
3571331.21819395,8.401501,-2.160796,4.139731,9.61205655200686
3571332.3745551603,8.406286,-2.1895108,4.1038375,9.607345319260617
3571333.53091637,8.473288,-2.2301903,4.115802,9.680402078858195
3571334.68727758,8.449359,-2.2086542,4.1277666,9.659621006547523
3571335.84363879,8.506788,-2.2254045,4.0966587,9.700540179281253
3571337.0,8.533111,-2.2493336,4.144517,9.749384911146905
3571337.9054715303,8.57379,-2.2325833,4.1469097,9.782186014153124
3571339.0618327404,8.578575,-2.2038684,4.189982,9.798210760923014
3571340.21819395,8.566611,-2.184725,4.2545905,9.81128878759749
3571341.3745551603,8.552254,-2.1416528,4.268948,9.795490912811253
3571342.53091637,8.540289,-2.1201165,4.2809124,9.785583332309168
3571343.68727758,8.600112,-2.0531151,4.3048415,9.834066725750555
3571344.84363879,8.559432,-1.9932925,4.264162,9.768324765046678
3571346.0,8.621648,-1.9885067,4.268948,9.823995631032869
3571347.9054715303,8.671899,-2.005257,4.249805,9.863251514600801
3571349.0618327404,8.726935,-2.010043,4.23784,9.907520134810426
3571350.21819395,8.803509,-2.0459363,4.2785196,9.999667795698157
3571351.3745551603,8.98537,-2.1392598,4.242626,10.16430921925696
3571352.53091637,9.038013,-2.184725,4.2904844,10.24045695759898
3571353.68727758,9.112194,-2.263691,4.326378,10.33798447648288
3571354.84363879,9.2485895,-2.3067634,4.3120203,10.461887219364481
3571356.0,9.329948,-2.4335876,4.3287706,10.569225761473833
3571356.9054715303,9.329948,-2.450338,4.3096275,10.56527213022477
3571358.0618327404,9.344306,-2.495803,4.319199,10.59247691704098
3571359.21819395,9.346699,-2.5125535,4.3622713,10.616172482668455
3571360.3745551603,9.344306,-2.5508401,4.424487,10.64889313734404
3571361.53091637,9.289269,-2.5651975,4.493881,10.633236723149178
3571362.68727758,9.308413,-2.574769,4.5154176,10.6613781512673
3571363.84363879,9.272519,-2.577162,4.5393467,10.640819566293093
3571365.0,9.234232,-2.5316968,4.5154176,10.586289501961677
3571366.9054715303,9.229446,-2.5316968,4.457988,10.557737407332606
3571368.0618327404,9.234232,-2.4646955,4.42688,10.532949780187137
3571369.21819395,9.176803,-2.392908,4.4220943,10.46396865416585
3571370.3745551603,9.126552,-2.2852273,4.3885937,10.381520595994067
3571371.53091637,9.162445,-2.2038684,4.3335567,10.372422473783955
3571372.68727758,9.13373,-2.1536174,4.338342,10.338486491138186
3571373.84363879,9.15766,-2.0507221,4.314413,10.328715183487121
3571375.0,9.107409,-2.0196145,4.338342,10.288097624481178
3571375.9054715303,9.064336,-2.0531151,4.338342,10.256640777745314
3571377.0618327404,9.016478,-1.9741492,4.3862004,10.219241387564187
3571378.21819395,9.021263,-1.9645776,4.3622713,10.211374156125826
3571379.3745551603,9.038013,-1.9597918,4.3885937,10.236513935476077
3571380.53091637,9.016478,-1.9071478,4.36945,10.199322602900098
3571381.68727758,9.033228,-1.9382555,4.3790216,10.22408297386767
3571382.84363879,9.014085,-1.9430413,4.3646646,10.20193290270152
3571384.0,9.083479,-1.9502201,4.381415,10.271793737420452
3571384.9054715303,9.076301,-1.9286839,4.3335567,10.241033888276862
3571386.0618327404,9.100229,-1.9573988,4.29527,10.251581453004334
3571387.21819395,9.152873,-2.005257,4.3024487,10.310538521644235
3571388.3745551603,9.205518,-1.9861137,4.2976627,10.351623735464063
3571389.53091637,9.183981,-1.9908996,4.3287706,10.346373429036161
3571390.68727758,9.195946,-2.0148287,4.3287706,10.361622094666647
3571391.84363879,9.224661,-2.0435436,4.3646646,10.407724923368946
3571393.0,9.253376,-2.0555081,4.376629,10.440544159677819
3571393.9054715303,9.250982,-2.079437,4.357486,10.435152631441909
3571395.0618327404,9.222268,-2.057901,4.3048415,10.383489005615948
3571396.21819395,9.193553,-2.0148287,4.2856984,10.341574456044652
3571397.3745551603,9.176803,-1.9908996,4.2665553,10.314111141831235
3571398.53091637,9.193553,-2.029186,4.194768,10.307040853718831
3571399.68727758,9.162445,-1.9669704,4.1732316,10.258422535640639
3571400.84363879,9.19116,-1.9286839,4.158874,10.271001736909366
3571402.0,9.155267,-1.9573988,4.139731,10.236586181725402
3571402.9054715303,9.15766,-1.9597918,4.065551,10.209418470635253
3571404.0618327404,9.195946,-1.9813279,4.039229,10.237502331949694
3571405.21819395,9.11698,-1.9837208,4.0535865,10.172808660627354
3571406.3745551603,9.112194,-2.010043,4.0775156,10.18324534830269
3571407.53091637,9.0978365,-2.0172215,4.0775156,10.171821126476706
3571408.68727758,9.01887,-2.0363648,4.1038375,10.115744159575474
3571409.84363879,8.968619,-2.0339718,4.120588,10.077321743206388
3571411.0,8.930333,-2.0626867,4.1038375,10.042261007345514
3571411.9054715303,8.860939,-2.0937946,4.1229806,9.994957969730864
3571413.0618327404,8.829831,-2.1009734,4.175625,9.990788199971691
3571414.21819395,8.789151,-2.112938,4.1253734,9.936417260867852
3571415.3745551603,8.72215,-2.1225095,4.132552,9.882253449127594
