IMF_1,IMF_2,IMF_3,IMF_4,IMF_5,IMF_6,IMF_7,IMF_8,IMF_9,timestamp
-0.023580960160692797,-0.00421273663898045,-0.009036518795298838,-0.00012625245228804183,0.0009443920663866571,0.0008641702337063662,0.0076416620537393,0.0006097075342230943,0.014078316365491485,16232.735728346455
0.021951019827573887,0.003672725745963423,-0.0003946637913688253,1.2345146799630208e-05,0.0009548608989425558,0.0008443406228665832,0.007669043660910588,0.0006107119211048269,0.01407739617349526,16250.823818897636
-0.001196942147361569,0.0020507351897489415,0.0075667960755851004,0.00012157426337562089,0.0009034094407972211,0.0008189741826892961,0.007695235466659822,0.0006115491171912906,0.014076448617602171,16268.91190944882
-0.01454427978930894,-0.00358905845885916,0.012246245670570258,0.00019572574087825602,0.0007853785114716904,0.0007878666318854781,0.0077202103056737605,0.0006122178113984586,0.014075473782576663,16287.0
0.01105189834151853,-0.004407818334277457,0.011563105898714822,0.00022777421983726997,0.0006029017038544427,0.0007507855678145389,0.007743944362998857,0.0006127166926422552,0.014074471753183212,16304.735728346455
-0.001819593006717841,0.0035853525226190136,0.004738007065359109,0.00022600338553344345,0.0003646107639503338,0.0007074969300232918,0.007766415481494158,0.0006130444498386627,0.014073442614186292,16322.823818897636
-0.008978793383734451,0.005709374289330854,-0.0042480412441195685,0.00019825285887843544,8.503330160030695e-05,0.0006577666580585198,0.007787601504018741,0.0006131997719036146,0.014072386450350369,16340.91190944882
0.010597914092889472,-0.006718672766924046,-0.011006845966199427,0.00015112624249407096,-0.00022006705506486375,0.0006013606914669904,0.0078074802734316336,0.0006131813477530597,0.014071303346439929,16359.0
-0.012810822928608837,-0.007534623886234354,-0.012683329295866167,9.122713900220865e-05,-0.0005349266779144958,0.000538044969795511,0.007826029632591961,0.0006129878812833544,0.014070193372239012,16376.735728346455
0.013941859872833131,0.009295295567554908,-0.00797915456249705,2.6073736342584596e-05,-0.0008437819388178305,0.00046758543259087373,0.007843227424358756,0.0006126181363125165,0.01406905653761004,16394.82381889764
-0.013210067659057665,0.009598808268739451,0.00013630300245721453,-3.315743627330487e-05,-0.0011308692096441272,0.0003897480193998521,0.007859051491591077,0.0006120708916389903,0.014067892837434978,16412.91190944882
0.011299965941098614,-0.005837145385455203,0.00817593423764767,-7.437526431615927e-05,-0.0013804248622627034,0.0003042986697692688,0.007873479677147984,0.000611344926061226,0.014066702266595812,16431.0
-0.009543080293001209,-0.011558842350238897,0.013495459765841045,-8.54886332565926e-05,-0.0015766852685427516,0.0002110033232458731,0.007886489823888562,0.00061043901837764,0.014065484819974532,16449.735728346455
0.00875121681034261,-0.004100079357485326,0.014251655848461008,-5.437539809885612e-05,-0.0017039178308200006,0.00010962791937647842,0.00789805977467185,0.0006093519473866641,0.014064240492453143,16467.82381889764
-0.008885200209381407,0.007219012910230771,0.011066470223132976,2.2122777351529943e-05,-0.0017467830359125518,-6.160229213234948e-08,0.007908167372356943,0.0006080824918867303,0.01406296927891361,16485.91190944882
-0.007343686448481342,0.013891647760403062,0.0052132318463467605,0.00011259374777037817,-0.0016928515941837439,-0.00011824617028432542,0.007916790459802888,0.0006066294306762916,0.014061671174237924,16504.0
-0.0017032061457640515,0.012963746773592903,-0.0019964725627014787,0.00018437859178394803,-0.0015381162056294626,-0.00024479484072597067,0.00792390687986873,0.0006049915425537832,0.014060346173308067,16522.735728346455
0.011562234827226485,0.004296669685418034,-0.009135452807124722,0.0002099282129979867,-0.001284129905886108,-0.0003791261590820585,0.007929494475413565,0.0006031676063176276,0.014058994271006013,16540.82381889764
-0.01246534100780604,-0.009299153031180623,-0.014747617820613344,0.00016357100891669694,-0.0009344225691714667,-0.0005205593261345658,0.007933531089296429,0.0006011564007662536,0.014057615462213789,16558.91190944882
