IMF_1,IMF_2,IMF_3,IMF_4,IMF_5,IMF_6,IMF_7,IMF_8,IMF_9,IMF_10,timestamp
4.208036759782351,1.4467869244352887,0.2415427920908159,-2.56961419988152,-2.359683165387173,-2.3488225755313996,1.9921291755845387,0.4875436600523263,0.6928012979945097,1.5030160019816499,938888.749276411
6.730364180355852,-0.2551502322435569,-0.9919960138241469,-2.8710088784530683,-2.3765482241022977,-2.3732211326457557,2.003719247796626,0.5016425421811926,0.6953402030872204,1.5031510789693223,938906.8328509406
8.138938312690803,-1.3964907613180366,-1.7042482545500048,-2.871008954878128,-2.378368751227734,-2.399926639920965,2.015687502299038,0.5155475320302821,0.697794330903883,1.5032876550922503,938924.9164254704
5.547183190814328,-1.1255403845866772,-1.6574827407632013,-2.538615411958514,-2.3648726255043315,-2.4290287804000372,2.028041937620749,0.5292540507346578,0.7001629973607182,1.5034257378036948,938943.0
-7.660286583041711,0.06387310110038438,-1.031795631084619,-1.9341282292960695,-2.335130625533765,-2.4604450660189965,2.0407648326359222,0.5427575194293931,0.7024455183739379,1.5035653345569109,938960.749276411
-1.5015394992795927,1.2424886898154068,-0.11041051456088392,-1.1420282412467213,-2.288023083189858,-2.4940494386364738,2.0538320363050295,0.5560533592495533,0.7046412098597641,1.503706452805163,938978.8328509406
6.172392290375754,1.0788174495292404,0.8155750156015434,-0.24715079058249131,-2.222430330346433,-2.529715840111095,2.067219397588545,0.569136991330207,0.7067493877344095,1.5038491000017074,938996.9164254704
-5.113026101402479,-0.796905149046067,1.4178757990568758,0.6656687799246002,-2.1372326988773116,-2.5673182123014855,2.0809027654469303,0.5820038368064273,0.7087693679140934,1.5039932835998029,939015.0
4.005179395269204,-1.150345141312645,1.3874424629558875,1.5130697889098503,-2.0313105206563162,-2.6067304970662724,2.094857988840663,0.5946493168132728,0.7107004663150344,1.5041390110527098,939032.749276411
0.920068744319754,0.5493591791417649,0.6937995226788787,2.2229539309191813,-1.9035441275572709,-2.647826636264087,2.1090609167302103,0.6070688524858203,0.7125419988534486,1.5042862898136882,939050.8328509406
-2.535998907977122,1.202241644819291,-0.22896209002026865,2.7446001756903113,-1.7528138514539966,-2.6904805717535507,2.123487398076042,0.6192578649591346,0.7142932814455514,1.5044351273359946,939068.9164254704
2.5301381046368685,-1.0036837361661863,-0.8883637399017235,3.0264419938786724,-1.5780000242203154,-2.7345662453932977,2.1381132818386335,0.6312117753682837,0.7159536300075612,1.5045855310728908,939087.0
-3.0020029946905984,-1.3750519674618942,-1.0100120563456791,3.025867132044207,-1.378593834142816,-2.77995759904195,2.15291441697845,0.6429260048483363,0.7175223604556968,1.504737508477634,939105.749276411
3.7124887272430467,0.8085877911309614,-0.5236227291926331,2.7512147490156393,-1.1567450752174748,-2.8265285745581408,2.1678666524559684,0.6543959745343587,0.7189987887061751,1.5048910670034874,939123.8328509406
0.5564889157809203,1.6793236381460321,0.18283005749379347,2.2570309040155054,-0.9160751180863624,-2.8741531138004905,2.1829458372316495,0.6656171055614238,0.7203822306752102,1.5050462141037055,939141.9164254704
-5.221256306284388,0.8572287438981615,0.6895053711905527,1.6067867355534378,-0.6604205134498862,-2.9227051586276276,2.1981278202659698,0.6765848190645976,0.7216720022790197,1.5052029572315502,939160.0
-0.2013719694361103,-1.0106301415747208,0.8948428958340182,0.8665685392323805,-0.3936178120084494,-2.972058650898179,2.213388450519397,0.6872945361789443,0.7228674194338264,1.5053613038402802,939177.749276411
6.668913419036026,-2.4647648348163744,0.7757843526114881,0.104184516792545,-0.11950356446245608,-3.022087532470777,2.2287035769524044,0.6977416780395375,0.7239677980558414,1.505521261383154,939195.8328509406
-7.410210224908739,-2.330840668480759,0.35640248742209174,-0.6448968618764699,0.1580856784876891,-3.0726657452040445,2.24404904852546,0.7079216657814439,0.7249724540612841,1.5056828373134286,939213.9164254704
-4.679587355264875,-0.9939167938295657,-0.258731243037621,-1.3539458491210299,0.43531336614157934,-3.1236672309566087,2.2594007141990335,0.7178299205397305,0.7258807033663727,1.505846039084374,939232.0
8.772620793533584,0.9805823569878449,-0.8998748207438705,-1.9962326972875062,0.7083429477988118,-3.1749659315871006,2.2747344229335984,0.7274618634494675,0.7266918618873232,1.5060108741492364,939249.749276411
