IMF_1,IMF_2,IMF_3,IMF_4,IMF_5,IMF_6,IMF_7,IMF_8,IMF_9,IMF_10,IMF_11,IMF_12,IMF_13,IMF_14,timestamp
0.017571034218360718,0.021696454930366534,-0.01320615220269224,0.00508791549474054,-0.02791641235896598,-0.030669566897728,-0.31340049291419303,-0.0888040514211269,-1.0671016327992915,-1.3041477174922755,-1.3464938327114913,2.3575114478317,0.6771457328348325,0.17338593409117295,1301221.9065031828
0.019393545275616122,0.028282190693131194,-0.01417493183127198,0.006586265790264274,-0.028526822068561126,-0.032182058742685156,-0.3143287927903965,-0.0877874496658468,-1.0627474468602272,-1.3074611195801116,-1.347635132003618,2.357854247641365,0.6771735911522969,0.17339137359345422,1301223.062717014
-0.0212528718554502,0.0004514655146653423,-0.01440251076795635,0.009389352711665558,-0.02915407017006609,-0.03323741797013723,-0.31506142813113247,-0.08675068019907275,-1.0583940063565218,-1.3107714374503996,-1.3487747863923332,2.358196321668678,0.6772013161072125,0.1733968138942577,1301224.218930845
0.016832099543668606,-0.02130636914946794,-0.01248322519315049,0.013026179926281535,-0.029730043758349523,-0.03381217468705444,-0.31559668170112565,-0.08569365362835263,-1.0540413405996758,-1.3140786684102566,-1.349912793993879,2.3585376695962776,0.6772289076649826,0.17340225499351178,1301225.3751446758
-0.012177002704729215,-0.025760111374979803,-0.00724812997187009,0.016810506580272888,-0.030163890272184052,-0.03388837370920965,-0.31593455829402195,-0.08461629184633511,-1.04968947890119,-1.3173828097668088,-1.3510491529244846,2.3588782911067936,0.6772563657910128,0.17340769689114294,1301226.531358507
-0.004171334799460655,-0.015282178813114356,0.0006647714057549192,0.02003343177824793,-0.030340393374824658,-0.03346607741275593,-0.3160775219327972,-0.08351858146816207,-1.0453384505725651,-1.320683858827172,-1.352183861300396,2.3592181858828667,0.6772836904507068,0.173413139587081,1301227.687572338
0.018591706613965628,-0.0009280763526250081,0.009272291739785794,0.02197595864920171,-0.030114762939165117,-0.03256705079140061,-0.3160272915363813,-0.08240061801620409,-1.0409882849253023,-1.323981812898471,-1.3533169172378448,2.3595573536071295,0.677310881609469,0.17341858308125227,1301228.843786169
-0.025795108922657,0.01635810112423688,0.015873728164360713,0.021941711015616813,-0.02934608345745206,-0.031226727455816634,-0.31578512629729055,-0.08126259472429796,-1.0366390112709014,-1.327276669287825,-1.3544483188530736,2.359895793962221,0.6773379392327035,0.17342402737358548,1301230.0
0.029333240594812484,0.023872609000099014,0.017755165502084273,0.019388278263476413,-0.027946257856633336,-0.02948378984884917,-0.31535225100943914,-0.08010472793720007,-1.0322906589208645,-1.3305684253023575,-1.3555780642623132,2.3602335066307725,0.677364863285815,0.17342947246400664,1301230.9065031828
-0.028790719399046417,-0.0011207428972342262,0.013561523645374891,0.01430964474361041,-0.025907975934546874,-0.02737692145273258,-0.31472988951245057,-0.07892723495395568,-1.0279432571866916,-1.3338570782491885,-1.3567061515818122,2.3605704912954297,0.677391653734207,0.17343491835244607,1301232.062717014
0.025208606282455588,-0.01614557566177434,0.005244985418153848,0.007385650570569075,-0.023276836727291306,-0.02494435403695425,-0.31391926564595224,-0.07773033307360913,-1.023596835379883,-1.3371426254354397,-1.3578325789278005,2.3609067476388215,0.6774183105432843,0.17344036503882956,1301233.218930845
-0.011062331232953592,-0.014079767986584621,-0.004177215666407857,-0.0004553618765715252,-0.02012059582481422,-0.022224214112918042,-0.312921603249568,-0.07651423959520454,-1.0192514228119403,-1.3404250641682323,-1.3589573444165162,2.361242275343583,0.6774448336784508,0.1734458125230866,1301234.3751446758
-0.007997144164706638,0.003168284092976891,-0.011627582172361274,-0.00826517017032534,-0.016512772098797,-0.019254628192023712,-0.3117381261629255,-0.07527917181778623,-1.0149070487943639,-1.343704391754689,-1.3600804461641978,2.3615770740923536,0.6774712231051117,0.1734512608051431,1301235.531358507
