IMF_1,IMF_2,IMF_3,IMF_4,IMF_5,IMF_6,IMF_7,IMF_8,timestamp
-0.48403437309124575,0.005739717310248634,-1.4185737681001893,0.3097745627395568,-0.5988889923253635,-1.286802313094489,-0.18520282028720944,-0.5977092312966121,50153.74236641221
-0.45268665567333805,-0.17981241323151712,-0.8302985239109161,0.027849089692328008,-0.6285259649018046,-1.2906227880501595,-0.18556193195372103,-0.5940001301161761,50171.82824427481
-0.3132668705889816,0.18949556341631252,0.09827581038659797,-0.2150119782414152,-0.64684218499407,-1.2953098125088967,-0.18581128169778838,-0.590270463917063,50189.9141221374
0.6038274842360016,0.37873742094110746,1.0934515001684944,-0.39646690992877454,-0.6529870517227727,-1.300897166116769,-0.18595258830687092,-0.5865204074157213,50208.0
-0.5642028142986363,-0.3041057512206876,1.824736720236268,-0.4941739742368452,-0.6461246820481108,-1.3074034285101632,-0.18598805273853194,-0.5827501353285977,50226.74236641221
0.531356294977419,-0.982391954533782,1.963437752022011,-0.48552157951426705,-0.625747924807078,-1.3147883079671356,-0.18591987595033202,-0.5789598223721406,50244.82824427481
-0.525476267800707,0.10669037091592569,1.325336413179094,-0.35861224860075713,-0.5924437887500696,-1.3229967949261596,-0.18575025889983435,-0.5751496432627972,50262.9141221374
0.5610138149876274,1.9186266380408639,0.25090579713671185,-0.14845287007722222,-0.5470691431459633,-1.331973879825706,-0.1854814025446004,-0.5713197727170161,50281.0
-0.7801276562790087,1.4170515514549782,-0.8386912205704831,0.09815611091051903,-0.4904808572636248,-1.3416645531042484,-0.18511550784219316,-0.5674703854512445,50298.74236641221
1.2991731864758043,-0.5561525532210285,-1.7205532631124407,0.3344142492166447,-0.4235358003719206,-1.3520138052002593,-0.184654775750175,-0.5636016561819301,50316.82824427481
-2.140333506354381,-1.7057485480074315,-2.2213443283352676,0.5135210996953365,-0.3470908417397229,-1.3629666265522098,-0.1841014072261077,-0.5597137596255196,50334.9141221374
2.713553197860482,-3.057535587161009,-2.177231788998735,0.5981795921144463,-0.2620028506358981,-1.3744680075985733,-0.18345760322755406,-0.5558068704984631,50353.0
4.457783584097835,-4.138176477285929,-1.4624869525284456,0.5892635086291357,-0.16919561405079603,-1.3864629387778227,-0.18272556471207588,-0.5518811635172065,50370.74236641221
4.175729652338829,-3.8505531895820844,-0.07795659171614948,0.4979404543379559,-0.07002162695998938,-1.398896410528431,-0.1819074926372357,-0.5479368133981993,50388.82824427481
-1.448222892878741,-1.5189574629625904,1.507491348791856,0.336247431590466,0.03338765342105642,-1.4117134132888685,-0.181005587960596,-0.5439739948578864,50406.9141221374
-5.707430351063151,1.9225548589595653,2.703921233095211,0.11665406432067581,0.13846814829243975,-1.4248589374976082,-0.18002205163971796,-0.5399928826127182,50425.0
5.066967725681262,3.993952220378972,2.9199849003788563,-0.14797893771293225,0.242587882732969,-1.4382779735931255,-0.1789590846321656,-0.5359936513791412,50443.74236641221
-3.850595939462019,-0.5084764622129502,1.7857290209166818,-0.4380562434254724,0.3431148818214491,-1.4519155120138907,-0.17781888789549966,-0.5319764758736021,50461.82824427481
2.2391952754561846,-3.1610901807518768,-0.17837256511368604,-0.7118918819743979,0.437417170636684,-1.4657165431983765,-0.1766036623872838,-0.5279415308125517,50479.9141221374
-0.9629584114602872,1.0642514104274963,-2.1782800138038816,-0.9223580200035403,0.5228627742574774,-1.4796260575850553,-0.17531560906507818,-0.5238889909124343,50498.0
0.5609549216118801,2.2041761168741894,-3.2976468448487237,-1.0223268241567398,0.5968197177626374,-1.4935890456123992,-0.17395692888644762,-0.5198190308896997,50515.74236641221
