IMF_1,IMF_2,IMF_3,IMF_4,IMF_5,IMF_6,IMF_7,IMF_8,IMF_9,IMF_10,IMF_11,IMF_12,IMF_13,timestamp
-0.011266751575212626,-0.005806183198842909,0.002752489999020324,0.021263706928347833,-0.013368050012500231,0.001585637998065717,-0.016736721449285553,0.30140253892033775,-0.5629512267480354,-0.17499029419179216,-0.16684807004283828,-0.6006870858618868,0.07243588938121447,1484026.9084130782
0.031441973521012884,-0.00012356040604664053,0.009339631570758377,0.019418418234743034,-0.014616585450235305,0.002427479845105692,-0.017012033726302576,0.3018083195143295,-0.5631942197825194,-0.17460806051084876,-0.1671046464950499,-0.6007819374037249,0.07243510123537016,1484028.064354067
-0.024932837990555193,0.010761318056289182,0.00826601180456681,0.016247984132221668,-0.015663504349532863,0.0031505352671010625,-0.017382663850100424,0.30219396646262087,-0.5634347342002695,-0.17422383500182806,-0.167361080831191,-0.6008767012974269,0.07243432194469639,1484029.2202950558
0.0035254714105748277,0.008656278622064187,0.000990669853068306,0.012027718895116954,-0.01645250689890207,0.0037462177045680953,-0.017851299739873035,0.3025593134778942,-0.5636727695538296,-0.17383761470160275,-0.1676173729164946,-0.600971377516853,0.07243355151086069,1484030.3762360446
0.02155852303514587,0.003945953207176384,-0.008659774434814197,0.006400786829210257,-0.016927329930087595,0.004205929783125834,-0.018420533854509025,0.3029041462706604,-0.5639083253957426,-0.17344939664704662,-0.16787352261619434,-0.6010659660358624,0.07243278993552991,1484031.5321770336
-0.008782317069035102,-0.016692556141082383,-0.01439165765616117,-0.0011648061821688748,-0.017032071770265767,0.00452054094990752,-0.01909206225042475,0.3032282488228763,-0.5641414012785559,-0.17305917787503386,-0.16812952979552032,-0.6011604668283155,0.07243203722037202,1484032.6881180224
-0.011041492584334968,-0.012308454083391523,-0.009177417243468738,-0.01071673698213347,-0.01671331498794753,0.004680063108232416,-0.019864239198886247,0.3035314051164921,-0.5643719967548075,-0.1726669554224385,-0.16838539431970576,-0.6012548798680726,0.07243129336705427,1484033.8440590112
0.009231904385794085,0.011244463624479291,0.006871455677162119,-0.02035708920401298,-0.015926747700078972,0.004680748669065854,-0.02073255393037069,0.3038133991334653,-0.5646001113770458,-0.1722727263261351,-0.16864111605398155,-0.6013492051289934,0.07243055837724377,1484035.0
0.001606101563983849,0.025200516271310727,0.021954361373255436,-0.027670332745398266,-0.014640833963113957,0.004530171712758542,-0.021691041405233737,0.3040740148557506,-0.5648257446978137,-0.17187648762299662,-0.1688966948635812,-0.6014434425849381,0.07242983225260824,1484035.9084130782
-0.005116604608894267,0.010460685319096042,0.024223848253369647,-0.030557106536364762,-0.012830771047018104,0.004242627596135336,-0.022733724646791038,0.30431303626529743,-0.5650488962696538,-0.17147823634989626,-0.169152130613736,-0.6015375922097667,0.07242911499481454,1484037.064354067
0.006020965957114721,-0.0014568072599566012,0.012506825623199618,-0.028482549870280403,-0.010496926938526817,0.0038337698036734246,-0.023854688782388906,0.3045302473440641,-0.5652695656451113,-0.1710779695437095,-0.16940742316967833,-0.6016316539773386,0.0724284066055306,1484038.2202950558
-0.013332374849366967,-0.01816822513612014,-0.008942980362492381,-0.02230240627318462,-0.007735234388595296,0.0033193178114920736,-0.02504801893937299,0.30472543207400327,-0.5654877523767299,-0.17067568424130997,-0.16966257239663976,-0.601725627861515,0.07242770708642372,1484039.3762360446
0.0177387229228096,-0.011808122156653805,-0.03282617897017868,-0.01313894704227918,-0.004665500841327475,0.0027149910957129167,-0.026307800245089597,0.30489837445822493,-0.5657034560382084,-0.17027137747957083,-0.16991757815985317,-0.601819513836155,0.07242701643916057,1484040.5321770336
0.006482878442266437,-0.012280069608654692,-0.04055909376018802,-0.00211041095854465,-0.0014075337408221225,0.0020365091324519927,-0.027628117826882445,0.30504886051820146,-0.5659166782216091,-0.16986504629536703,-0.17017244032455042,-0.6019133118751187,0.07242633466540928,1484041.6881180224
0.027245810133440657,-0.05731167586683583,-0.021949869425821552,0.009536922161813559,0.0019188594688187637,0.0012995913978292141,-0.029003056812098266,0.3051766835077076,-0.5661274277512981,-0.1694566877255711,-0.1704271587559631,-0.6020070219522667,0.07242566176683693,1484042.8440590112
-0.005850200262384441,-0.06635006360149243,0.008707402202550573,0.019984120618392134,0.005193871343492972,0.0005199573679642772,-0.03042670232808186,0.30528163572657496,-0.5663357124976943,-0.16904629880705865,-0.17068173331932363,-0.6021006440414584,0.07242499774511083,1484044.0
-0.09294779567153451,-0.020015793882937206,0.03663031346228884,0.02726808161068584,0.008297694439100011,-0.0002866734810235513,-0.03189313950217909,0.305363505095065,-0.5665415359516512,-0.168633876576702,-0.17093616387986438,-0.6021941781165538,0.07242434260189824,1484044.9084130782
-0.003943338006859663,0.06497516860860654,0.05388995928718604,0.02942570233819137,0.011110521311537024,-0.0011045816730143594,-0.0333964534617367,0.30542207579985386,-0.5667448978704323,-0.16821941807137594,-0.1711904503028174,-0.6022876241514136,0.07242369633886693,1484046.064354067
0.1252772382145356,0.11050025003480958,0.05340065061396823,0.025096235892419275,0.013525372159055268,-0.0019180655068282266,-0.03493072933409775,0.30545712987000373,-0.5669457958536919,-0.16780292032795444,-0.17144459245341495,-0.6023809821198965,0.07242305895768406,1484047.2202950558
0.07107010236875957,0.05969351006836915,0.02974063781887869,0.015489469051469721,0.015486585876714493,-0.0027115025084410984,-0.03649005224660898,0.3054684459373991,-0.5671442241039024,-0.16738438038331038,-0.17169859019688852,-0.602474251995864,0.07242243046001683,1484048.3762360446
-0.023182617900510957,-0.04271946026863714,-0.006628584572293351,0.003061984959536377,0.01695138135368089,-0.0034693403305205974,-0.03806850732661626,0.3054557999530805,-0.5673401741426952,-0.1669637952743189,-0.17195244339847068,-0.6025674337531753,0.07242181084753284,1484049.5321770336
