IMF_1,IMF_2,IMF_3,IMF_4,IMF_5,IMF_6,IMF_7,IMF_8,IMF_9,IMF_10,IMF_11,timestamp
-0.004877026011508537,-0.004122699369736443,-0.04448174742823969,-0.030136010388041132,0.0007691040146145788,-0.06349741499143816,0.7699392345895094,-0.6875785048624314,-0.09682957515968445,-0.03216701470418362,0.45984415784477356,242723.8224936548
-0.009698899611043582,-0.0015595041085045222,-0.04636591351797952,-0.03101725843432824,0.0011210993448100915,-0.06379427908735616,0.7710408364438509,-0.6883398042835316,-0.09677990576624053,-0.032369084821388255,0.45983971737534485,242726.13356598985
-0.004933237045903541,0.004015716002925046,-0.04769232240936647,-0.03042365143917004,0.0012985738074779822,-0.06432654116248472,0.7722174684012164,-0.6890389171465656,-0.0967321187588258,-0.03257119117454668,0.4598352244588773,242728.44463832487
0.010556538878248655,0.010820791482045046,-0.04787947038881695,-0.02830304165928947,0.0013203150812102552,-0.0650988414536761,0.7734660716326022,-0.6896754865524117,-0.0966862215827654,-0.03277333104824061,0.4598306791447271,242730.7557106599
0.017979859901429324,-0.002215427665366438,-0.04524614928328654,-0.02477948675949337,0.0012109422410600046,-0.0661136700845545,0.7747827327139792,-0.6902491556019483,-0.09664222168338314,-0.032975501727052436,0.459826081482249,242733.0667829949
-0.019350754610587773,-0.009986520113836883,-0.03756978845495932,-0.02008569189863043,0.0009974176441879658,-0.0673742972291616,0.7761626010734429,-0.6907595673960523,-0.09660012650600608,-0.03317770049556255,0.4598214315207994,242735.37785532995
-0.03331011606217725,-0.010188699022934074,-0.02325845816177661,-0.014474256084603097,0.0007077559001174905,-0.06888417560113522,0.7775999564263224,-0.6912063650356025,-0.09655994349595794,-0.03337992463835214,0.459816729309733,242737.68892766497
0.039028878441608246,0.004779015449541688,-0.003218117626832857,-0.008191996661249987,0.0003695535165374814,-0.07064573172719144,0.779088470402859,-0.6915891916214764,-0.0965216800985638,-0.033582171440003604,0.4598119748984057,242740.0
0.031138990800975375,0.009337067502172006,0.018666488156810136,-0.0014840685640833558,1.014634187872407e-05,-0.07266075464625854,0.7806214378047657,-0.6919076902545525,-0.09648534375914915,-0.03378443818509755,0.45980716833617324,242741.8224936548
-0.04079907554195234,-0.00032730211271277034,0.037429876100426064,0.005404373271384173,-0.0003432086407546996,-0.0749301274781672,0.7821913263799827,-0.6921615040357079,-0.09645094192303937,-0.03398672215821614,0.4598023096723914,242744.13356598985
-0.020205915666848928,-0.00959460806641613,0.047211117060717886,0.012228173909639973,-0.0006633279672682363,-0.07745351070412097,0.7837894547568343,-0.6923502760658216,-0.0964184820355586,-0.0341890206439399,0.4597973989564148,242746.44463832487
0.015679005077432046,0.000955995944168058,0.04383488217621316,0.0187460874281224,-0.0009232004351289185,-0.0802290396696303,0.7854057886895122,-0.6924736494457708,-0.09638797154203242,-0.03439133092685123,0.45979243623759997,242748.7557106599
0.02745376301636078,0.011227991127708805,0.029577874730316575,0.02473065917949627,-0.0010964505386537645,-0.08325387424833518,0.7870299541571883,-0.6925312672764338,-0.09635941788778564,-0.03459365029153104,0.4597874215653016,242751.0667829949
-0.015496287465668928,-0.01070699687613421,0.00976584560988371,0.029950964423071675,-0.0011589313961465353,-0.08652295509328588,0.7886515865424306,-0.692522772665418,-0.09633282851141381,-0.03479597602256118,0.45978235498887654,242753.37785532995
-0.01156574703209503,-0.004343694355115284,-0.009994302546417679,0.034174233641582556,-0.0010909442868080562,-0.0900268422631751,0.7902603887943483,-0.6924478093322979,-0.09630821023954558,-0.034998305404522354,0.45977723655767866,242755.68892766497
0.0008089588701710011,0.013469538101971698,-0.02685020801539594,0.03716764414357654,-0.0008768974940506503,-0.09375194380079442,0.7918460720245443,-0.6923060245918095,-0.09628556630364811,-0.035200635721996554,0.4597720663210646,242758.0
0.012706572529966334,0.0038626291375222876,-0.03826096604080639,0.038697681558434296,-0.0005031795696484236,-0.09768193239219565,0.7933982839354127,-0.6920970721382514,-0.09626489355562556,-0.035402964259565524,0.4597668443283901,242760.8224936548
0.015715099179106407,-0.011302097705393938,-0.04310724356178512,0.03853444785643681,4.0535398126354764e-05,-0.10179888128852303,0.79490665584177,-0.6918206101202294,-0.09624618439307574,-0.035605288301809264,0.4597615706290098,242763.13356598985
-0.035886594762843796,-0.015354684408349816,-0.040875623751841755,0.03649853350461374,0.0007474547259654485,-0.10608381270323343,0.7963608186902985,-0.6914762974878624,-0.09622943041208214,-0.03580760513331061,0.45975624527228004,242765.44463832487
-0.007385769510367803,-0.0014292134090620801,-0.031946063067254955,0.03257985446182936,0.0015985476126063462,-0.110516793189847,0.797750400766822,-0.6910637931912696,-0.09621462320872823,-0.03600991203865069,0.4597508683075561,242767.7557106599
0.023897115779774172,0.011463342155562996,-0.01829981342412103,0.02699575785629745,0.0025717335325092703,-0.11507736518007111,0.7990650098915673,-0.6905827561805712,-0.09620175437909789,-0.036212206302410566,0.4597454397841934,242770.0667829949
0.01295050096399974,0.017810912865546737,-0.0023204212579854095,0.02002025398867184,0.0036444346326895733,-0.11974467864087977,0.8002941873643761,-0.6900328454058856,-0.09619081551927464,-0.03641448520917231,0.4597399597515476,242772.37785532995
-0.01896540637814803,-0.006157282409562576,0.013453629996586796,0.011929234145967903,0.004793917970984582,-0.12449769728488487,0.8014274433199063,-0.6894137198173322,-0.09618179822534284,-0.03661674604351677,0.4597344282589743,242774.68892766497
-0.004641347114450015,-0.017529094765236498,0.02631657509419207,0.003000389838391045,0.005997334515949549,-0.12931526478017258,0.8024542839375725,-0.688725038365031,-0.09617469409338553,-0.03681898609002588,0.4597288453558292,242777.0
-0.0033728371239845623,-0.014807569011773505,0.03395663476581437,-0.006469104674122832,0.007231753037933469,-0.13417614259662172,0.8033642153967877,-0.6879664599991006,-0.0961694947194868,-0.037021202633280105,0.45972321109146747,242778.8224936548
0.012702397174131118,0.0011442592858054814,0.03535028055581608,-0.01612012465025065,0.008474150183750206,-0.13905900008057728,0.8041467438769666,-0.6871376436696605,-0.09616619169973029,-0.037223392957862124,0.4597175255152453,242781.13356598985
-0.011788515589564091,0.013525765226561437,0.03047526270809061,-0.025532589761943707,0.009701331204642182,-0.14394234336518097,0.8047913837398926,-0.68623824832683,-0.09616477663019937,-0.037425554348352624,0.4597117886765173,242783.44463832487
0.00265681251195284,0.016421429904564844,0.019469266700934434,-0.03423772020704377,0.010889882166148368,-0.14880453942429545,0.8052877293737717,-0.6852679329207284,-0.09616524110697848,-0.03762768408933332,0.45970600062464023,242785.7557106599
0.008561256994675847,0.014806360328719575,0.003686228117532141,-0.041756099792087414,0.012016230458750117,-0.1536240242299576,0.8056256028400437,-0.6842263564014753,-0.09616757672615067,-0.03782977946538527,0.4597001614089684,242788.0667829949
-0.0048613104220711495,0.0005107475202873203,-0.01274423078405028,-0.0476080792141824,0.013056734576317236,-0.15837934792859382,0.8057950092711481,-0.6831131777191892,-0.09617177508379993,-0.03803183776109027,0.4596942710788579,242790.37785532995
-0.004729514282915563,-0.014648692890346706,-0.024734016090916675,-0.05131400917043659,0.013987719175751836,-0.16304911537956793,0.8057860423494305,-0.6819280558239904,-0.09617782777600997,-0.03823385626102989,0.4596883296836648,242792.68892766497
-0.0017471452441224244,-0.012921471307886208,-0.027835498783622653,-0.05239472538071696,0.014785878655899344,-0.16761197368295244,0.8055888118214213,-0.6806706511684805,-0.09618572639886452,-0.038435832249785105,0.4596823372727438,242795.0
-0.006061768336609976,-0.002042902253360899,-0.021248884354669116,-0.050507129630114,0.01543065465571438,-0.17204687018253556,0.8051934892080119,-0.679340653907869,-0.09619546254844756,-0.03863776301193771,0.4596762938954512,242797.8224936548
0.008608072449352286,0.009777797896851763,-0.00849200151520337,-0.04584646722960069,0.015907906556437427,-0.17633362014283252,0.8045906481127886,-0.6779378585423917,-0.09620702782084162,-0.03883964583206936,0.459670199601142,242800.13356598985
0.00821523515041301,0.00875734774891431,0.0059561686746362206,-0.038747527889782085,0.016210154608886335,-0.18045441464364956,0.8037720253367745,-0.6764621480848382,-0.09622041381213219,-0.039041477994760425,0.45966405443917185,242802.44463832487
-0.00786250366825396,0.00044171437629927696,0.017502770534537068,-0.02954645592762435,0.0163325123199338,-0.18439479279134496,0.802731312884045,-0.67491354374986,-0.09623561211840155,-0.03924325678459339,0.45965785845889623,242804.7557106599
0.008162086116366547,-0.009705539458233901,0.021089657591557856,-0.01858015411458644,0.01627058862442386,-0.18814192832962107,0.8014633745005513,-0.6732920992846124,-0.09625261433573462,-0.03944497948614914,0.45965161170967117,242807.0667829949
-0.012589343948014302,0.007822132627825579,0.013407841483072464,-0.006243088376892884,0.016019715808882302,-0.19168307604361398,0.799963513779779,-0.6715979505940329,-0.09627141206021403,-0.039646643384009694,0.459645314240852,242809.37785532995
0.014343024977956682,0.006488483277350123,0.00026231181579621025,0.006804923837885725,0.015574890975814331,-0.19500569423861855,0.7982279033392995,-0.6698315639029654,-0.09629199688792377,-0.03984824576275611,0.45963896610179417,242811.68892766497
-0.00029744487348634424,-0.004735576950778537,-0.011344451563502573,0.019664873533239542,0.01493094238156642,-0.19809807210230868,0.7962538044381433,-0.667993494349175,-0.09631436041494809,-0.040049783906969304,0.45963256734185304,242814.0
-0.0068331040984802175,-0.008828260393448906,-0.01548038974882569,0.0314870083775644,0.014082651818848596,-0.20094948875832866,0.794039516423734,-0.6660842987592128,-0.09633849423737022,-0.04025125510123216,0.4596261180103849,242815.8224936548
-0.007781696238783404,-0.004782905810065604,-0.01013560465227612,0.04177025622550047,0.013024781817374452,-0.20354973858742514,0.7915838731635931,-0.6641045339596298,-0.09636438995127418,-0.04045265663012434,0.45961961815674407,242818.13356598985
0.006595631839330112,0.01015001143260017,-0.00014887055778616963,0.05004175723539527,0.011752078151797695,-0.20588911198456863,0.7888862212945262,-0.6620547567769771,-0.09639203915274318,-0.040653985778228735,0.4596130678302876,242820.44463832487
0.013279785041211047,0.008174532148697341,0.008348109651827461,0.055813039142690125,0.010259253839084402,-0.20795813428452317,0.7859461482200695,-0.6599355240378055,-0.09642143343786165,-0.04085523983012545,0.4596064670803696,242822.7557106599
-0.014027781883242295,-0.011098277047713564,0.011395892786462884,0.05862316352257834,0.008539652088749685,-0.209747656746694,0.7827635678989211,-0.6577473925686653,-0.09645256440271259,-0.04105641607039746,0.4595998159563468,242825.0667829949
-0.002180559693611033,-0.0024740748372378846,0.008145150430247673,0.058230428935503925,0.006585935154976043,-0.21124886233125253,0.779338725990547,-0.6554909191961077,-0.09648542364338025,-0.04125751178362485,0.45959311450757384,242827.37785532995
-0.003981766963670242,0.007107104001368758,0.0015259082455353068,0.05485475141367586,0.004411897654295967,-0.21245316539854545,0.7756720995545876,-0.6531666607466841,-0.0965200027559479,-0.04145852425439009,0.45958636278340714,242829.68892766497
0.012018814506837294,0.013645557373524611,-0.0051674575692611715,0.04881022859678576,0.002055032601499561,-0.213352388234057,0.7717645735758203,-0.6507751740469446,-0.09655629333650002,-0.04165945076727326,0.4595795608332015,242832.0
-0.0035520508366242843,0.0032795547527531624,-0.008882995669662237,0.04040903851335953,-0.00044234033683966315,-0.21393862301653246,0.7676173029322845,-0.6483170159234404,-0.0965942869811197,-0.041860288606857345,0.45957270870631317,242833.8224936548
-0.00969293186803973,-0.01120723969586566,-0.008771540913918694,0.03000108402254275,-0.00303790149414823,-0.21420459231793929,0.7632320728952411,-0.6457927432027224,-0.09663397528589024,-0.042061035057723475,0.4595658064520973,242836.13356598985
